,chunk,chunk,chunk,chunk,chunk,chunk,chunk,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle
,key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
0,[0:28],0,0,28,2006-01-01,2006-06-01,analysis,23716.95390003085,,101955.16376909148,173106.02546918404,30804.30206899892,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.5230768424511292,0.7470420572385313,0.299111627663727,0.679851627061749,0.34197938102398723,False
1,[29:57],1,29,57,2006-07-01,2006-11-01,analysis,23716.95390003085,,113001.81714453324,184152.6788446258,41850.95544444068,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.5411669186619049,0.7651321334493071,0.31720170387450275,0.679851627061749,0.34197938102398723,False
2,[58:86],2,58,86,2006-11-01,2007-05-01,analysis,23716.95390003085,,98666.3788342384,169817.24053433095,27515.517134145848,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.4855152327822132,0.7094804475696154,0.26155001799481103,0.679851627061749,0.34197938102398723,False
3,[87:115],3,87,115,2007-05-01,2007-08-01,analysis,23716.95390003085,,101486.75496740197,172637.61666749453,30335.89326730941,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.4949937276615405,0.7189589424489427,0.2710285128741383,0.679851627061749,0.34197938102398723,False
4,[116:144],4,116,144,2007-08-01,2008-04-01,analysis,23716.95390003085,,102038.55399516424,173189.4156952568,30887.692295071683,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.5310014544761466,0.7549666692635487,0.3070362396887444,0.679851627061749,0.34197938102398723,False
5,[145:173],5,145,173,2008-04-01,2008-08-01,analysis,23716.95390003085,,131693.67678886128,202844.53848895384,60542.81508876872,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.5460981804167867,0.7700633952041889,0.32213296562938454,0.679851627061749,0.34197938102398723,False
6,[174:202],6,174,202,2008-08-01,2009-05-01,analysis,23716.95390003085,,95477.2404956838,166628.10219577636,24326.37879559124,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.5094706021328228,0.733435816920225,0.28550538734542064,0.679851627061749,0.34197938102398723,False
7,[203:231],7,203,231,2009-05-01,2009-08-01,analysis,23716.95390003085,,105427.09575115719,176577.95745124976,34276.23405106463,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.4960533507363442,0.7200185655237464,0.272088135948942,0.679851627061749,0.34197938102398723,False
8,[232:260],8,232,260,2009-08-01,2010-03-01,analysis,23716.95390003085,,95570.3861116288,166721.24781172135,24419.524411536244,169894.5730575216,39692.50738901687,False,0.07465507159580073,,0.47254058371346674,0.6965057985008689,0.24857536892606455,0.679851627061749,0.34197938102398723,False
9,[261:291],9,261,291,2010-03-01,2010-07-01,analysis,22939.13627658612,,102361.55873952604,171178.96756928437,33544.149909767686,169894.5730575216,39692.50738901687,False,0.07220669518913804,,0.4819615226833955,0.6985816082508096,0.26534143711598135,0.679851627061749,0.34197938102398723,False
