,chunk,chunk,chunk,chunk,chunk,chunk,chunk,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmse,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle,rmsle
,key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert,sampling_error,realized,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
0,[0:28],0,0,28,2006-01-01,2006-06-01,reference,23716.95390003085,101550.76636615119,101955.16376909148,173106.02546918404,30804.30206899892,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.525165172748258,0.5230768424511292,0.7470420572385313,0.299111627663727,0.679851627061749,0.34197938102398723,False
1,[29:57],1,29,57,2006-07-01,2006-11-01,reference,23716.95390003085,114527.03062440742,113001.81714453324,184152.6788446258,41850.95544444068,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.5776517055938014,0.5411669186619049,0.7651321334493071,0.31720170387450275,0.679851627061749,0.34197938102398723,False
2,[58:86],2,58,86,2006-11-01,2007-05-01,reference,23716.95390003085,119022.74193154619,98666.3788342384,169817.24053433095,27515.517134145848,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.5188959390630632,0.4855152327822132,0.7094804475696154,0.26155001799481103,0.679851627061749,0.34197938102398723,False
3,[87:115],3,87,115,2007-05-01,2007-08-01,reference,23716.95390003085,92210.70886982993,101486.75496740197,172637.61666749453,30335.89326730941,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.4724665639561375,0.4949937276615405,0.7189589424489427,0.2710285128741383,0.679851627061749,0.34197938102398723,False
4,[116:144],4,116,144,2007-08-01,2008-04-01,reference,23716.95390003085,97375.98279774928,102038.55399516424,173189.4156952568,30887.692295071683,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.53704297780401,0.5310014544761466,0.7549666692635487,0.3070362396887444,0.679851627061749,0.34197938102398723,False
5,[145:173],5,145,173,2008-04-01,2008-08-01,reference,23716.95390003085,161716.0058082443,131693.67678886128,202844.53848895384,60542.81508876872,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.6306820833547695,0.5460981804167867,0.7700633952041889,0.32213296562938454,0.679851627061749,0.34197938102398723,False
6,[174:202],6,174,202,2008-08-01,2009-05-01,reference,23716.95390003085,86913.50592763493,97918.80599364467,169069.66769373722,26767.944293552107,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.46446752561728655,0.4997228056708275,0.7236880204582297,0.27575759088342533,0.679851627061749,0.34197938102398723,False
7,[203:231],7,203,231,2009-05-01,2009-08-01,reference,23716.95390003085,89495.04547308762,109900.03999407259,181050.90169416514,38749.17829398003,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.48289790796369547,0.5321332367026711,0.7560984514900733,0.30816802191526893,0.679851627061749,0.34197938102398723,False
8,[232:260],8,232,260,2009-08-01,2010-03-01,reference,23716.95390003085,99447.94455707402,110590.06206920624,181740.9237692988,39439.20036911368,169894.5730575216,39692.50738901687,False,0.07465507159580073,0.44262122879325994,0.5127544482495611,0.7367196630369632,0.2887892334621589,0.679851627061749,0.34197938102398723,False
9,[261:291],9,261,291,2010-03-01,2010-07-01,reference,22939.13627658612,85675.66987696751,97596.08710091296,166413.4959306713,28778.67827115461,169894.5730575216,39692.50738901687,False,0.07220669518913804,0.45726393553439937,0.46714118294320994,0.683761268510624,0.2505210973757958,0.679851627061749,0.34197938102398723,False
