,chunk,chunk,chunk,chunk,chunk,chunk,chunk,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error
,key,chunk_index,start_index,end_index,start_date,end_date,period,sampling_error,value,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
0,[0:28],0,0,28,2006-01-01,2006-06-01,reference,0.07099531191748268,0.3585278743138942,0.5715138100663423,0.14554193856144618,0.6529754742666275,0.2875536856793167,False
1,[29:57],1,29,57,2006-07-01,2006-11-01,reference,0.07099531191748268,0.4695214760027603,0.6825074117552083,0.2565355402503122,0.6529754742666275,0.2875536856793167,False
2,[58:86],2,58,86,2006-11-01,2007-05-01,reference,0.07099531191748268,0.5600252304561517,0.7730111662085998,0.34703929470370365,0.6529754742666275,0.2875536856793167,False
3,[87:115],3,87,115,2007-05-01,2007-08-01,reference,0.07099531191748268,0.4591718175166967,0.6721577532691447,0.2461858817642487,0.6529754742666275,0.2875536856793167,False
4,[116:144],4,116,144,2007-08-01,2008-04-01,reference,0.07099531191748268,0.4863290840132223,0.6993150197656703,0.2733431482607742,0.6529754742666275,0.2875536856793167,False
5,[145:173],5,145,173,2008-04-01,2008-08-01,reference,0.07099531191748268,0.4502996297938377,0.6632855655462857,0.23731369404138966,0.6529754742666275,0.2875536856793167,False
6,[174:202],6,174,202,2008-08-01,2009-05-01,reference,0.07099531191748268,0.3963172326550549,0.609303168407503,0.18333129690260688,0.6529754742666275,0.2875536856793167,False
7,[203:231],7,203,231,2009-05-01,2009-08-01,reference,0.07099531191748268,0.557235390040838,0.7702213257932861,0.34424945428838993,0.6529754742666275,0.2875536856793167,False
8,[232:260],8,232,260,2009-08-01,2010-03-01,reference,0.07099531191748268,0.5174894377572823,0.7304753735097304,0.3045035020048342,0.6529754742666275,0.2875536856793167,False
9,[261:291],9,261,291,2010-03-01,2010-07-01,reference,0.06866696043422993,0.44772862717998285,0.6537295084826726,0.24172774587729307,0.6529754742666275,0.2875536856793167,False
