,chunk,chunk,chunk,chunk,chunk,chunk,chunk,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,GrLivArea,GrLivArea,GrLivArea,GrLivArea,GrLivArea,GrLivArea,GrLivArea,GrLivArea
,chunk,chunk,chunk,chunk,chunk,chunk,chunk,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,kolmogorov_smirnov,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
,key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
0,[0:145],0,0,145,2006-01-01,2006-06-01,reference,0.03356164383561644,0.10291755172978129,,False,0.0793311326262465,0.1,,False,0.050684931506849315,0.12735628734321783,,False,0.09367977557985646,0.1,,False
1,[146:291],1,146,291,2006-06-01,2006-11-01,reference,0.03561643835616438,0.10291755172978129,,False,0.06775381437896257,0.1,,False,0.06232876712328767,0.12735628734321783,,False,0.0990925469763038,0.1,,False
2,[292:437],2,292,437,2006-11-01,2007-06-01,reference,0.06301369863013699,0.10291755172978129,,False,0.09780457411144178,0.1,,False,0.0958904109589041,0.12735628734321783,,False,0.12502794362967776,0.1,,True
3,[438:583],3,438,583,2007-06-01,2007-09-01,reference,0.03561643835616438,0.10291755172978129,,False,0.09339443941805639,0.1,,False,0.10547945205479452,0.12735628734321783,,False,0.11370148851792407,0.1,,True
4,[584:729],4,584,729,2007-09-01,2008-05-01,reference,0.08356164383561644,0.10291755172978129,,False,0.14273385223721863,0.1,,True,0.05,0.12735628734321783,,False,0.11397021118333157,0.1,,True
5,[730:875],5,730,875,2008-05-01,2008-08-01,reference,0.06027397260273973,0.10291755172978129,,False,0.12325390320222634,0.1,,True,0.04589041095890411,0.12735628734321783,,False,0.10227325845922218,0.1,,True
6,[876:1021],6,876,1021,2008-08-01,2009-05-01,reference,0.017123287671232876,0.10291755172978129,,False,0.0799222822817582,0.1,,False,0.050684931506849315,0.12735628734321783,,False,0.10563304419080409,0.1,,True
7,[1022:1167],7,1022,1167,2009-05-01,2009-07-01,reference,0.01986301369863014,0.10291755172978129,,False,0.07825589732037029,0.1,,False,0.08561643835616438,0.12735628734321783,,False,0.10666486614615409,0.1,,True
8,[1168:1313],8,1168,1313,2009-07-01,2010-03-01,reference,0.04246575342465753,0.10291755172978129,,False,0.07796120364117631,0.1,,False,0.0547945205479452,0.12735628734321783,,False,0.13133829700460392,0.1,,True
9,[1314:1459],9,1314,1459,2010-03-01,2010-07-01,reference,0.01986301369863014,0.10291755172978129,,False,0.09785420837768843,0.1,,False,0.05410958904109589,0.12735628734321783,,False,0.11417958759362933,0.1,,True
